"Key","Item.Type","Publication.Year","Author","Title","Publication.Title","ISBN","ISSN","DOI","Url","Abstract.Note","Date","Date.Added","Date.Modified","Access.Date","Pages","Num.Pages","Issue","Volume","Number.Of.Volumes","Journal.Abbreviation","Short.Title","Series","Series.Number","Series.Text","Series.Title","Publisher","Place","Language","Rights","Type","Archive","Archive.Location","Library.Catalog","Call.Number","Extra","Notes","File.Attachments","Link.Attachments","Manual.Tags","Automatic.Tags","Editor","Series.Editor","Translator","Contributor","Attorney.Agent","Book.Author","Cast.Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed.Author","Scriptwriter","Words.By","Guest","Number","Edition","Running.Time","Scale","Medium","Artwork.Size","Filing.Date","Application.Number","Assignee","Issuing.Authority","Country","Meeting.Name","Conference.Name","Court","References","Reporter","Legal.Status","Priority.Numbers","Programming.Language","Version","System","Code","Code.Number","Section","Session","Committee","History","Legislative.Body","Screen","Reason","Comment","Screen.Name"
"B8UW2LWP","journalArticle",2024,"Zhou, Daying; Deng, Yingchun; Wei, Xinyi; Li, Taohong; Li, Ziyi; Wang, Sirui; Jiang, Yunke; Liu, Wenqin; Luo, Bo; Feng, Jiang","Behavioral responses of cave-roosting bats to artificial light of different spectra and intensities: Implications for lighting management strategy","SCIENCE OF THE TOTAL ENVIRONMENT",NA,"0048-9697","10.1016/j.scitotenv.2024.170339",NA,"Artificial light at night has become an emerging environmental pollutant, posing a serious threat to biodiversity. Cave -roosting animals are vulnerable to light pollution due to long-term adaptation to nocturnal niches, and the problem is especially severe in the context of cave tourism and limestone mining. Mitigating the adverse impacts of artificial light on cave -dwelling animals presents a challenge. This study aimed to assess the relative contributions of spectral parameters and light intensity to the emergence behavior of nine cave -roosting bat species: Rhinolophus macrotis, Rhinolophus pearsonii, Rhinolophus rex, Rhinolophus pusillus, Rhinolophus siamensis, Rhinolophus sinicus, Hipposideros armiger, Myotis davidii, and Miniopterus fuliginosus. We manipulated light spectra and intensities through light -emitting diode (LED) lighting and gel filters at the entrance of bat roost. We monitored nightly passes per species to quantify bat emergence under the dark control and ten lighting conditions (blue, green, yellow, red, and white light at high and low intensities) using ultrasonic recording. Our analyses showed that the number of bat passes tended to be reduced in the presence of white, green, and yellow light, independent of light intensity. In contrast, the number of bat passes showed no pronounced differences under the dark control, blue light, and red light. The number of bat passes was primarily affected by LED light's blue component, red component, peak wavelength, and half -width instead of light intensity. These results demonstrate that spectral parameters of LED light can significantly affect emergence behavior of cave -dwelling bats. Our findings highlight the importance of manipulating light colors to reduce the negative impacts of light pollution on cave -roosting bats as a function of their spectral sensitivity. We recommend the use of gel filters to manage existing artificial lighting systems at the entrance of bat -inhabited caves.","2024-03-15","2025-03-03 21:00:14","2025-03-03 21:00:14",NA,"",NA,"",916,NA,NA,NA,NA,NA,NA,NA,NA,NA,"English",NA,NA,NA,NA,NA,NA,"Place: RADARWEG 29, 1043 NX AMSTERDAM, NETHERLANDS Publisher: ELSEVIER Type: Article",NA,NA,NA,"Bat; Blue light; Cave; Light pollution; Red light; Spectral manipulation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No Decision","No reason given","Effect of light intensity on emergencce behaviours. Might just be number of emergences rather than timing of emergences","Insert Screener Name"
"WWHHPSIN","journalArticle",2020,"Voigt, Christian C.; Scholl, Julia M.; Bauer, Juliane; Teige, Tobias; Yovel, Yossi; Kramer-Schadt, Stephanie; Gras, P.","Movement responses of common noctule bats to the illuminated urban landscape","LANDSCAPE ECOLOGY",NA,"0921-2973","10.1007/s10980-019-00942-4",NA,"Context Cities are a challenging habitat for obligate nocturnal mammals because of the ubiquitous use of artificial light at night (ALAN). How nocturnal animals move in an urban landscape, particularly in response to ALAN is largely unknown. Objectives We studied the movement responses, foraging and commuting, of common noctules (Nyctalus noctula) to urban landscape features in general and ALAN in particular. Methods We equipped 20 bats with miniaturized GPS loggers in the Berlin metropolitan area and related spatial positions of bats to anthropogenic and natural landscape features and levels of ALAN. Results Common noctules foraged close to ALAN only next to bodies of water or well vegetated areas, probably to exploit swarms of insects lured by street lights. In contrast, they avoided illuminated roads, irrespective of vegetation cover nearby. Predictive maps identified most of the metropolitan area as non-favoured by this species because of high levels of impervious surfaces and ALAN. Dark corridors were used by common noctules for commuting and thus likely improved the permeability of the city landscape. Conclusions We conclude that the spatial use of common noctules, previously considered to be more tolerant to light than other bats, is largely constrained by ALAN. Our study is the first individual-based GPS tracking study to show sensitive responses of nocturnal wildlife to light pollution. Approaches to protect urban biodiversity need to include ALAN to safeguard the larger network of dark habitats for bats and other nocturnal species in cities.","2020-01","2025-03-03 21:00:14","2025-03-03 21:00:14",NA,"189-201",NA,"1",35,NA,NA,NA,NA,NA,NA,NA,NA,NA,"English",NA,NA,NA,NA,NA,NA,"Place: VAN GODEWIJCKSTRAAT 30, 3311 GZ DORDRECHT, NETHERLANDS Publisher: SPRINGER Type: Article",NA,NA,NA,"ALAN; Artificial light at night; Common noctule bat; GPS tracking; Habitat use; Movement; Preference; Urbanization",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Reject","No reason given","Assessed distributions in response to ALAN","Insert Screener Name"
"VXTIZFKT","journalArticle",2021,"Barre, K.; Spoelstra, K.; Bas, Y.; Challeat, S.; Ing, R. Kiri; Azam, C.; Zissis, G.; Lapostolle, D.; Kerbiriou, C.; Le Viol, I","Artificial light may change flight patterns of bats near bridges along urban waterways","ANIMAL CONSERVATION",NA,"1367-9430","10.1111/acv.12635",NA,"Artificial light at night (ALAN) is considered as a major threat to biodiversity, especially to nocturnal species, as it reduces availability, quality and functionality of habitats. However, its effects on the way species use landscape elements such as rivers are still largely understudied, especially the effect of crossing infrastructure lighting on bridges. These elements are nevertheless key commuting and foraging habitats in heavily urbanised landscapes for several taxa such as bats that are particularly affected by ALAN. We studied the effects of the illumination of facades and undersides of bridges on the relative abundance of pipistrelle bats, on their 3D distribution and their behavioural response (i.e. flight speed) close to bridges. We set-up an innovative approach based on a microphone-array to reconstruct positions and flight trajectories in 3D. We studied the effect of lighting on bats in the close proximity of six similar bridges, mostly differentiated by the presence or absence of lighting (3 lit and 3 unlit). All bridges cross the same waterway, within a uniformly and highly urbanized agglomeration (Toulouse, France). We found that bat activity was 1.7 times lower in lit sites. Bats tended to keep a larger distance, and to fly faster close to illuminated bridges. These results suggest that bridge lighting strongly reduces habitat availability and likely connectivity for bats. In that case, results call for switching off the illumination of such bridges crossing riverine ecosystems to preserve their functionality as habitats and corridors for bats.","2021-04","2025-03-03 21:00:14","2025-03-03 21:00:14",NA,"259-267",NA,"2",24,NA,NA,NA,NA,NA,NA,NA,NA,NA,"English",NA,NA,NA,NA,NA,NA,"Place: 111 RIVER ST, HOBOKEN 07030-5774, NJ USA Publisher: WILEY Type: Article",NA,NA,NA,"acoustic localisation; artificial light; Chiroptera; ecological corridor; flight behaviour; light pollution; microphone array; rivers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No Decision","No reason given","Recorded bat activity at comparable lit and unlit sites. Unclear if timing was considered.","Insert Screener Name"
"52H6CDIV","journalArticle",2018,"Voigt, Christian C.; Rehnig, Katharina; Lindecke, Oliver; Petersons, Gunars","Migratory bats are attracted by red light but not by warm-white light: Implications for the protection of nocturnal migrants","ECOLOGY AND EVOLUTION",NA,"2045-7758","10.1002/ece3.4400",NA,"The replacement of conventional lighting with energy-saving light emitting diodes (LED) is a worldwide trend, yet its consequences for animals and ecosystems are poorly understood. Strictly nocturnal animals such as bats are particularly sensitive to artificial light at night (ALAN). Past studies have shown that bats, in general, respond to ALAN according to the emitted light color and that migratory bats, in particular, exhibit phototaxis in response to green light. As red and white light is frequently used in outdoor lighting, we asked how migratory bats respond to these wavelength spectra. At a major migration corridor, we recorded the presence of migrating bats based on ultrasonic recorders during 10-min light-on/light-off intervals to red or warm-white LED, interspersed with dark controls. When the red LED was switched on, we observed an increase in flight activity for Pipistrellus pygmaeus and a trend for a higher activity for Pipistrellus nathusii. As the higher flight activity of bats was not associated with increased feeding, we rule out the possibility that bats foraged at the red LED light. Instead, bats may have flown toward the red LED light source. When exposed to warm-white LED, general flight activity at the light source did not increase, yet we observed an increased foraging activity directly at the light source compared to the dark control. Our findings highlight a response of migratory bats toward LED light that was dependent on light color. The most parsimonious explanation for the response to red LED is phototaxis and for the response to warm-white LED foraging. Our findings call for caution in the application of red aviation lighting, particularly at wind turbines, as this light color might attract bats, leading eventually to an increased collision risk of migratory bats at wind turbines.","2018-09","2025-03-03 21:00:14","2025-03-03 21:00:14",NA,"9353-9361",NA,"18",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,"English",NA,NA,NA,NA,NA,NA,"Place: 111 RIVER ST, HOBOKEN 07030-5774, NJ USA Publisher: WILEY Type: Article",NA,NA,NA,"animal orientation; aviation lighting; bat migration; conservation; light pollution; phototaxis; wind turbines",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No Decision","No reason given","Measured flight activity (maybe not timing?) with different coloured lights.","Insert Screener Name"
"VR527NLC","journalArticle",2023,"Frick, Winifred F.; Dzal, Yvonne A.; Jonasson, Kristin A.; Whitby, Michael D.; Adams, Amanda M.; Long, Christen; Depue, John E.; Newman, Christian M.; Willis, Craig K. R.; Cheng, Tina L.","Bats increased foraging activity at experimental prey patches near hibernacula","ECOLOGICAL SOLUTIONS AND EVIDENCE",NA,"","10.1002/2688-8319.12217",NA,"1. Emerging infectious diseases in wildlife can threaten vulnerable host populations. Actions targeting habitat improvements to aid population resilience and recovery may be beneficial long-term strategies, yet testing the efficacy of such strategies before major conservation investments are made can be challenging. 2. The disease white-nose syndrome (WNS) has caused severe declines in several species of North American hibernating bats. We tested a novel conservation approach targeted at improving foraging conditions near bat hibernacula by experimentally manipulating insect density in the pre-hibernation fattening period and spring emergence recovery period. We measured foraging (feeding buzzes) and echolocation activity of little brown bats Myotis lucifugus at ultraviolet (UV) light lures to determine behavioural response to augmented foraging conditions and characterized insect availability at UV light lures. 3. In the fall, bat foraging activity was three times greater (95% CI: 1.5-5.8; p = 0.002) when UV lights were on, but there was no statistical support for differences in echolocation activity response when our experimental design alternated between nights with lights on and off. In the spring, we allowed UV light lures to run consistently each night and compared with a control location in similar habitat. Bat foraging activity was 8.5 times greater (95% CI: 4.5-16.0; p < 0.0001) and echolocation activity was 4.4 times higher (95% CI: 3.0-6.5; p < 0.0001) at UV light lures in the spring experiment. In both the fall and spring, UV light lures resulted in concentrated insect availability, attracting primarily moths (Order: Lepidoptera). In both seasons, nightly temperature had a strong influence on bat foraging, echolocation and insect activity. 4. We show that a bat species threatened by WNS used enhanced foraging habitats near hibernacula during the critical pre- and post-hibernation phases of their annual cycle. While light lures are unlikely to be a long-term management strategy, our experiment provides initial evidence that bats behaviourally respond with increased foraging activity in areas with augmented insect prey availability. Our experimental results support developing management strategies focused on habitat protection, including restoration and enhancement of foraging habitats, in the immediate vicinity of bat hibernacula.","2023-01","2025-03-03 21:00:14","2025-03-03 21:00:14",NA,"",NA,"1",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"English",NA,NA,NA,NA,NA,NA,"Place: 111 RIVER ST, HOBOKEN 07030-5774, NJ USA Publisher: WILEY Type: Article",NA,NA,NA,"bats; conservation evidence; foraging behaviour; habitat protection; habitat restoration; insect prey; white-nose syndrome; wildlife disease management",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No Decision","No reason given","Measured foraging and echolocation activity levels, using white light lures. Unclear if they looked at timing.","Insert Screener Name"
"2ZAZFATM","journalArticle",2019,"Haddock, Joanna K.; Threlfall, Caragh G.; Law, Bradley; Hochuli, Dieter F.","Responses of insectivorous bats and nocturnal insects to local changes in street light technology","AUSTRAL ECOLOGY",NA,"1442-9985","10.1111/aec.12772",NA,"Artificial light at night is a pervasive anthropogenic stressor for biodiversity. Many fast-flying insectivorous bat species feed on insects that are attracted to light-emitting ultraviolet radiation (10-400 nm). Several countries are currently focused on replacing mercury vapour lamps, which emit ultraviolet light, with more cost-efficient light-emitting diode (LED) lights, which emit less ultraviolet radiation. This reduction in ultraviolet light may cause declines in insect densities in cities, predatory fast-flying bats, and some edge-foraging and slow-flying bats. Capitalising on a scheme to update streetlights from high ultraviolet mercury vapour to low ultraviolet LED in Sydney, Australia, we measured the activity of individual bat species, the activity of different functional groups and the bat and insect communities, before and after the change in technology. We also surveyed sites with already LED lights, sites with mercury vapour lights and unlit bushland remnants. Species adapted to foraging in cluttered vegetation, and some edge-space foraging species, were more active in unlit bushland sites than in all lit sites and decreased in activity at lit sites after the change to LED lights. The change to LED streetlights caused a decrease in the fast-flying Chalinolobus gouldii but not Miniopterus schreibersii oceanensis, the latter being more influenced by seasonal and environmental variables. Insect biomass was not affected by changing light types, but instead was negatively correlated with the moon's percentage illuminance. Changing streetlights to LEDs could result in a decline in some insectivorous bats in cities. This study confirms that unlit urban bushland remnants are important refuges for high bat diversity, particularly for more clutter-adapted species and some edge-space foraging species. Preventing light penetration into unlit bushland patches and corridors remains essential to protect the urban bat community.","2019-09","2025-03-03 21:00:14","2025-03-03 21:00:14",NA,"1052-1064",NA,"6",44,NA,NA,NA,NA,NA,NA,NA,NA,NA,"English",NA,NA,NA,NA,NA,NA,"Place: 111 RIVER ST, HOBOKEN 07030-5774, NJ USA Publisher: WILEY Type: Article",NA,NA,NA,"artificial light; artificial light at night; light-emitting diode; mercury vapour; species traits; urban ecosystems",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No Decision","No reason given","Measured activity levels with mercury vapour lamps and LED lamps. Unclear if timing was recorded. ","Insert Screener Name"
"24F54D78","journalArticle",2018,"Zeale, Matt R. K.; Stone, Emma L.; Zeale, Emma; Browne, William J.; Harris, Stephen; Jones, Gareth","Experimentally manipulating light spectra reveals the importance of dark corridors for commuting bats","GLOBAL CHANGE BIOLOGY",NA,"1354-1013","10.1111/gcb.14462",NA,"The rapid global spread of artificial light at night is causing unprecedented disruption to ecosystems. In otherwise dark environments, street lights restrict the use of major flight routes by some bats, including the threatened lesser horseshoe bat Rhinolophus hipposideros, and may disrupt foraging. Using radio tracking, we examined the response of individual female R. hipposideros to experimental street lights placed on hedgerows used as major flight routes. Hedgerows were illuminated on one side over four nights using lights with different emission spectra, while the opposite side of the hedge was not illuminated. Automated bat detectors were used to examine changes in overall bat activity by R. hipposideros and other bat species present. R. hipposideros activity reduced significantly under all light types, including red light, challenging a previously held assumption that red light is safe for bats. Despite this, R. hipposideros rapidly adapted to the presence of lights by switching their flight paths to the dark side of the hedgerow, enabling them to reach foraging sites without restriction. Red light had no effect on the activity of the other species present. Slow-flying Myotis spp. avoided orange, white and green light, while more agile Pipistrellus spp. were significantly more active at these light types compared to dark controls, most probably in response to accumulations of insect prey. No effect of any light type was found for Nyctalus or Eptesicus spp. Our findings demonstrate that caution must be used when promoting forms of lighting that are thought to be safe for wildlife before they are tested more widely. We argue that it is essential to preserve dark corridors to mitigate the impacts of artificial light at night on bat activity and movements.","2018-12","2025-03-03 21:00:14","2025-03-03 21:00:14",NA,"5909-5918",NA,"12",24,NA,NA,NA,NA,NA,NA,NA,NA,NA,"English",NA,NA,NA,NA,NA,NA,"Place: 111 RIVER ST, HOBOKEN 07030-5774, NJ USA Publisher: WILEY Type: Article",NA,NA,NA,"artificial light at night; bats; behaviour; dark corridors; Rhinolophus hipposideros; street lights",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No Decision","No reason given","Recorded bat activity on illulminated and un-illuminated sides of hedgerow. Unclear if timing considered. ","Insert Screener Name"
"8YUGXIPS","journalArticle",2023,"Barre, K.; Thomas, I.; Le Viol, I.; Spoelstra, K.; Kerbiriou, C.","Manipulating spectra of artificial light affects movement patterns of bats along ecological corridors","ANIMAL CONSERVATION",NA,"1367-9430","10.1111/acv.12875",NA,"Animal movement throughout the landscape is a key concept for population viability. Human footprint can reduce animal movement through barrier effects such as habitat change and fragmentation, or through enhanced resources. Artificial light at night (ALAN) can affect the movement of nocturnal animals such as bats that are highly mobile in the landscape. Very few studies have explicitly quantified the choices that moving bats make when they encounter a light source on their flight routes. We assessed whether ALAN of different colours (green, red and white) compared to control conditions affected the use of ecological corridors, considering (i) activity and (ii) movement along the corridor, for open, edge (i.e. light-opportunistic) and narrow-space (i.e. light-averse) foraging bats. We modelled the effects of 28 independent lampposts at four experimental sites on bat activity and movement (i.e. the number of trajectories towards the lamppost and the probability of lamppost crossing). Each lamppost was sampled two to three times over eight complete nights using paired passive acoustic stereo recorders to record bat activity and reconstruct bat trajectories. Narrow-space foragers were much less active in presence of any light source, and fewer flew towards any lit lampposts. Open and edge-space foragers were more active close to white and green lights, and to a lesser extent red light, compared to unlit control sites. Edge-space foragers overall flew more towards white and green lampposts, but had a lower probability of fully crossing a white and red-lighted site. The study shows that ALAN can strongly alter bat movements along landscape structures, for light-averse but also light-opportunistic species. Such changes in flight behaviour may involve bypasses or detours, which may force bats to fly longer distances at night which could ultimately affect fitness. Our findings suggest that avoiding artificial lighting close to flight routes will benefit bats.","2023-12","2025-03-03 21:00:14","2025-03-03 21:00:14",NA,"865-875",NA,"6",26,NA,NA,NA,NA,NA,NA,NA,NA,NA,"English",NA,NA,NA,NA,NA,NA,"Place: 111 RIVER ST, HOBOKEN 07030-5774, NJ USA Publisher: WILEY Type: Article",NA,NA,NA,"artificial light; barrier effect; bat movement; Chiroptera; ecological corridors; flight behaviour; functional connectivity; streetlight crossing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No Decision","No reason given","Measured activity levels along ecological corridors with different colours of light and controls. Unclear if timing considered. ","Insert Screener Name"
"7BUVFKH4","journalArticle",2019,"Russo, D.; Ancillotto, L.; Cistrone, L.; Libralato, N.; Domer, A.; Cohen, S.; Korine, C.","Effects of artificial illumination on drinking bats: a field test in forest and desert habitats","ANIMAL CONSERVATION",NA,"1367-9430","10.1111/acv.12443",NA,"Bats show pronounced and often-adverse reactions to artificial illumination at night (ALAN) when commuting, roosting or foraging. ALAN also affects bat drinking activity, at least when lighting occurs over short intervals. We tested whether continuous illumination of drinking sites over 4-h periods would lead bats to tolerate ALAN and resume drinking in the course of the night. We conducted our experiments in forest (Italy) and desert (Israel) sites to test whether in the latter habitat, where water is scarce, a greater motivation to drink might lead to less adverse bat reactions. We recorded 6853 drinking buzzes and 1647 feeding buzzes from 17 species and one species group. In the forest sites, species that hunt in open spaces or along forest edges showed little (P. pipistrellus and H. savii) or no (P. kuhlii and N. leisleri) drinking activity decrease, while those associated with forest interiors (Barbastella barbastellus, Plecotus auritus and bats in the genus Myotis) exhibited a strong negative response. In the desert sites, all studied species reduced drinking activity, yet in the desert populations of P. kuhlii we recorded stronger adverse reactions only far from human settlements. The harsh reactions that the desert bat species showed towards ALAN rule out any effect of a greater motivation to drink. Illumination had no effect on foraging by most species, except in the forest sites, where Pipistrellus kuhlii and Nyctalus leisleri increased foraging when the light was on, and in the desert sites, where Hypsugo bodenheimeri decreased foraging in such situations. The progressive human encroachment that is taking place in many world regions on both forests and especially deserts, where few sites for drinking are available, may jeopardize bat populations also through increased exposure to ALAN.","2019-04","2025-03-03 21:00:14","2025-03-03 21:00:14",NA,"124-133",NA,"2",22,NA,NA,NA,NA,NA,NA,NA,NA,NA,"English",NA,NA,NA,NA,NA,NA,"Place: 111 RIVER ST, HOBOKEN 07030-5774, NJ USA Publisher: WILEY Type: Article",NA,NA,NA,"Chiroptera; foraging; habituation; Israel; Italy; light pollution; urbanization; water",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Reject","No reason given","Measured drinking activity.","Insert Screener Name"
"EJRVE3NX","journalArticle",2015,"Mathews, Fiona; Roche, Niamh; Aughney, Tina; Jones, Nicholas; Day, Julie; Baker, James; Langton, Steve","Barriers and benefits: implications of artificial night-lighting for the distribution of common bats in Britain and Ireland","PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES",NA,"0962-8436","10.1098/rstb.2014.0124",NA,"Artificial lighting is a particular problem for animals active at night. Approximately 69% of mammal species are nocturnal, and one-third of these are bats. Due to their extensive movements-both on a nightly basis to exploit ephemeral food supplies, and during migration between roosts-bats have an unusually high probability of encountering artificial light in the landscape. This paper reviews the impacts of lighting on bats and their prey, exploring the direct and indirect consequences of lighting intensity and spectral composition. In addition, new data from large-scale surveys involving more than 265 000 bat calls at more than 600 locations in two countries are presented, showing that prevalent street-lighting types are not generally linked with increased activity of common and widespread bat species. Such bats, which are important to ecosystem function, are generally considered `light-attracted' and likely to benefit from the insect congregations that form at lights. Leisler's bat (Nyctalus leisleri) may be an exception, being more frequent in lit than dark transects. For common pipistrelle bats (Pipistrellus pipistrellus), lighting is negatively associated with their distribution on a landscape scale, but there may be local increases in habitats with good tree cover. Research is now needed on the impacts of sky glow and glare for bat navigation, and to explore the implications of lighting for habitat matrix permeability.","2015-05-05","2025-03-03 21:00:14","2025-03-03 21:00:14",NA,"",NA,"1667",370,NA,NA,NA,NA,NA,NA,NA,NA,NA,"English",NA,NA,NA,NA,NA,NA,"Place: 6-9 CARLTON HOUSE TERRACE, LONDON SW1Y 5AG, ENGLAND Publisher: ROYAL SOC Type: Article",NA,NA,NA,"bats; Chiroptera; fragmentation; light; migration; vision",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Reject","No reason given","Impacts of street-lighting types on bat activity. Unclear if timing considered. Also seems to be partially a review paper. ","Insert Screener Name"
"5MH2T3XY","journalArticle",2022,"Lewanzik, Daniel; Straka, Tanja M.; Lorenz, Julia; Marggraf, Lara; Voigt-Heucke, Silke; Schumann, Anke; Brandt, Miriam; Voigt, Christian C.","Evaluating the potential of urban areas for bat conservation with citizen science data","ENVIRONMENTAL POLLUTION",NA,"0269-7491","10.1016/j.envpol.2021.118785",NA,"Global change, including urbanisation, threatens many of the >1400 bat species. Nevertheless, certain areas within highly urbanised cities may be suitable to harbour bat populations. Thus, managing urban habitats could contribute to bat conservation. Here, we wanted to establish evidence-based recommendations on how to improve urban spaces for the protection of bats. In a team effort with >200 citizen scientists, we recorded bat vocalisations up to six times over the course of 2 years at each of 600 predefined sites in the Berlin metropolitan area. For each species we identified the preferred and non-preferred landscape features. Our results show that artificial light at night (ALAN) had a negative impact on all species. For soprano pipistrelles and mouse-eared bats ALAN had the largest effect sizes among all environmental predictors. Canopy cover and open water were especially important for bat species that forage along vegetation edges and for trawling bats, respectively. Occurrence probability of species foraging in open space decreased with increasing distance to water bodies. On a larger scale, impervious surfaces tended to have positive effects on some species that are specialised on foraging along edge structures. Our study constitutes an important contribution to the growing body of literature showing that despite the many negative impacts of urbanisation on wildlife, urban environments can harbour bat populations if certain conditions are met, such as access to vegetation and water bodies and low levels of ALAN. Our findings are of high relevance for urban planners and conservationists, as they allow inferences on how to manage urban spaces in a bat-friendly way. We recommend limiting ALAN to the minimum necessary and maintaining and creating uninterrupted vegetated corridors between areas with high levels of canopy cover and water bodies, in which ALAN should be entirely avoided.","2022-03-15","2025-03-03 21:00:14","2025-03-03 21:00:14",NA,"",NA,"",297,NA,NA,NA,NA,NA,NA,NA,NA,NA,"English",NA,NA,NA,NA,NA,NA,"Place: THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, OXON, ENGLAND Publisher: ELSEVIER SCI LTD Type: Article",NA,NA,NA,"ALAN; Bats; Light pollution; Urban ecosystem; Urban greening; Urbanisation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Reject","No reason given","Not considering activity etc., focus on occurrence. ","Insert Screener Name"
